id,name,position,school,nationality,height,weight,wingspan,age,tier,ranking,stats,analysis,strengths,weaknesses,image,displayinfo,created_at,displayInfo,draftClass,eligibilityStatus,verified,region,team,trending,ranking_espn,ranking_247,scouting_grade_espn,ppg,apg,rpg,fg_pct,three_pct,ft_pct,bpg,spg,high_school_team,comparison,scope,source,last_verified_at,api_basketball_id,games_played,total_points,total_field_goal_attempts,two_pt_makes,two_pt_attempts,three_pt_makes,three_pt_attempts,ft_makes,ft_attempts,total_rebounds,total_assists,minutes_played,turnovers,total_blocks,total_steals,ts_percent,efg_percent,orb_percent,drb_percent,trb_percent,ast_percent,tov_percent,stl_percent,blk_percent,usg_percent,total_s_percent,ppr,pp_s,ortg,drtg,win_shares,vorp,bpm,athleticism,strength,speed,shooting,ball_handling,defense,basketball_iq,leadership,improvement,competition_level,coachability,work_ethic,draft_class,per,games_started,motor,badges,ncaa_raw_stats,conference,league
5e3f7857-4613-428e-aa1a-4a05bd9d2885,Michael Porter Jr.,SF,,,"{""us"":""6'10\""""}",,"7'0.25\""",20,,,,,,,,,2025-08-08 23:25:19.057766+00,,,,,,,,5,2,,10,0.3,6.7,0.333,0.3,0.778,0.3,1,,,,,2025-08-08 23:25:19.057766+00,,3,,,,,3,10,7,9,,,,,,,0.383,,5,,12,2,0,2,1,23.6,,,,,,0,,-6.2,,,,,,,,,,,,,2018,9.4,,,[],,,NCAA
aj-dybantsa-espn-2025,AJ Dybantsa,SF,Utah Prep,🇺🇸,"{""us"":""6'8"",""intl"":203}","{""us"":195,""intl"":88}",,17,,1,{},,"[""Elite scoring ability at all three levels"",""Exceptional size and fluidity for a wing"",""Advanced handle and playmaking vision"",""High basketball IQ""]","[""Needs to add significant strength"",""Can be inconsistent with defensive effort"",""Shot selection can be questionable at times""]",,,2025-07-26 19:58:00.598164+00,{},2026,High School prospect - Draft Eligible 2026,false,USA,Utah Prep,stable,,,,,,,,0.385,,1.8,2.1,Utah Prep,Kevin Durant,NBA_DRAFT,,2025-07-30 16:21:46.503949+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],,,
alec-blair-2025,Alec Blair,SF,Gonzaga Prep (WA),🇺🇸,"{""us"":""6'6"",""intl"":198}","{""us"":190,""intl"":86}",,,,31,{},,[],"[""Inexperiência""]",,,2025-07-26 19:58:00.598164+00,{},2026,High School prospect - Draft Eligible 2026,false,USA,Gonzaga Prep (WA),stable,,,,,,,,0.438,,0.6,1.8,Gonzaga Prep (WA),,NBA_DRAFT,,2025-07-30 16:21:46.503949+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],,,
aleks-alston-2025,Aleks Alston,PF,Huntington Prep (WV),🇺🇸,N/A,N/A,,,,45,{},,[],"[""Inexperiência""]",,,2025-07-26 19:58:00.598164+00,{},2026,High School prospect - Draft Eligible 2026,false,USA,Huntington Prep (WV),stable,,,,,,,,0.298,,2.1,1.4,Huntington Prep (WV),,NBA_DRAFT,,2025-07-30 16:21:46.503949+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],,,
alexander-lloyd-2025,Alexander Lloyd,SG,Montverde Academy (FL),🇺🇸,"{""us"":""6'4"",""intl"":193}","{""us"":180,""intl"":82}",,,,24,{},,[],"[""Inexperiência""]",,,2025-07-26 19:58:00.598164+00,{},2026,High School prospect - Draft Eligible 2026,false,USA,Montverde Academy (FL),stable,,,,,,,,0.378,,0.3,1.9,Montverde Academy (FL),,NBA_DRAFT,,2025-07-30 16:21:46.503949+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],,,
alijah-arenas-espn-2025,Alijah Arenas,SG,Chatsworth (CA),🇺🇸,N/A,N/A,,,,7,{},,[],"[""Inexperiência""]",,,2025-07-26 19:58:00.598164+00,{},2026,High School prospect - Draft Eligible 2026,false,USA,Chatsworth (CA),stable,,,,,,,,0.389,,0.6,2.4,Chatsworth (CA),,NBA_DRAFT,,2025-07-30 16:21:46.503949+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],,,
amare-bynum-2025,A'mare Bynum,PG,Sol Davis Prep (TX),🇺🇸,"{""us"":""6'3"",""intl"":191}","{""us"":175,""intl"":79}",,,,34,{},,[],"[""Inexperiência""]",,,2025-07-26 19:58:00.598164+00,{},2026,High School prospect - Draft Eligible 2026,false,USA,Sol Davis Prep (TX),stable,,,,,,,,0.389,,0.3,2.5,Sol Davis Prep (TX),,NBA_DRAFT,,2025-07-30 16:21:46.503949+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],,,
amari-evans-2025,Amari Evans,SG,Gonzaga Prep (WA),🇺🇸,N/A,N/A,,,,46,{},,[],"[""Inexperiência""]",,,2025-07-26 19:58:00.598164+00,{},2026,High School prospect - Draft Eligible 2026,false,USA,Gonzaga Prep (WA),stable,,,,,,,,0.412,,0.6,2.2,Gonzaga Prep (WA),,NBA_DRAFT,,2025-07-30 16:21:46.503949+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],,,
antione-west-2025,Antione West,PF,Wasatch Academy (UT),🇺🇸,N/A,N/A,,,,56,{},,[],"[""Inexperiência""]",,,2025-07-26 19:58:00.598164+00,{},2026,High School prospect - Draft Eligible 2026,false,USA,Wasatch Academy (UT),stable,,,,,,,,0.345,,1.4,1.6,Wasatch Academy (UT),,NBA_DRAFT,,2025-07-30 16:21:46.503949+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],,,
azavier-robinson-2025,Azavier Robinson,PF,Overtime Elite,🇺🇸,N/A,N/A,,,,63,{},,[],"[""Inexperiência""]",,,2025-07-26 19:58:00.598164+00,{},2026,High School prospect - Draft Eligible 2026,false,USA,Overtime Elite,stable,,,,,,,,0.334,,1.5,1.4,Overtime Elite,,NBA_DRAFT,,2025-07-30 16:21:46.503949+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],,,
